path,role,kind,selected_by_default,bytes,sha256,source,note
target/cad/254492_prep_small_adv.step,target,cad,yes,14026065,b81ddd9a6f27dadb08103cf3105720f4dce811cbb80637e430736829a7f10f52,"NREL GRC GB3 (OEDI submission 56, DOI 10.7799/1337868); the STEP is the user's Onshape export",
target/deck/baseline.comm,target,deck,yes,5541,36db49a27629a615c2679e19df67d6ea09b55047058876efb76dcc5062d6f91c,fastcae assets/GRC_Gearbox_Housing (deck generated by fastcae's bench script),
target/deck/baseline.export,target,deck,yes,230,0c593c8ae559b8dade71c52d1448c0c0db49ed7eabfd203d569dfb3bce5f8652,fastcae assets/GRC_Gearbox_Housing (deck generated by fastcae's bench script),
target/deck/baseline.med,target,mesh,yes,32202947,afb0a7535dc1c21d5b2faac688a614c6743fe54de190fac7b330b3bc4c39a442,fastcae assets/GRC_Gearbox_Housing (deck generated by fastcae's bench script),
target/deck/baseline.mess,target,results,no,35691,8d8b987957ef06889f5d1a3222728260e0d09bd1e55bbfc70e72a7bb8067c9a6,fastcae assets/GRC_Gearbox_Housing (deck generated by fastcae's bench script),
target/deck/baseline_signals.resu,target,results,no,1624,316b3b3b9e718c2261aa5dd45703e97551470afdd04d354157d84fa1f4643128,fastcae assets/GRC_Gearbox_Housing (deck generated by fastcae's bench script),
target/drawing/254492.pdf,target,drawing,yes,660231,a44405e71168187f61e8a3ed985f1bff08eecfd01a53f2dd3e9c7789f1240d8b,"NREL GRC GB3 (OEDI submission 56, DOI 10.7799/1337868); the STEP is the user's Onshape export",
